Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	34	3.3797216699801194	1.4873431175370218E-6	A2RUS2, Q9C0H5, Q63406, Q15811, Q99N37, Q5ZMM3, Q8K4K5, P55196, Q8IWW6, Q13905, Q5S007, O75140, Q3T0M7, Q6P3S1, O95714, Q8NE09, Q9BTW9, O55043, A7E300, P52735, Q8IZD9, P31696, Q14155, Q6DN90, Q58DL5, Q92556, Q9P2F6, B0FYY4, Q8N264, Q15438, Q9ES28, Q4LDD4, Q8N392, Q96DR7	896	214	14229	2.5230828604806406	0.004610517286294469	0.004610517286294469	0.0026886371484624583
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	16	1.5904572564612325	7.585111545432166E-5	Q8BW94, Q9C0G6, Q91XQ0, Q7ZYL5, Q9GYZ0, Q96M86, Q9D2Z8, Q9EQW7, Q9QXL2, Q96L93, Q14204, Q9JHU4, Q8TD57, Q96FN5, Q6ZMV9, Q8TE73	896	77	14229	3.2998608534322815	0.2099652554636715	0.11116101315461613	0.13702735167856472
GOTERM_BP_DIRECT	GO:0007049~cell cycle	37	3.6779324055666	1.0856981905713156E-4	E9PVX6, E7F6T8, Q810L3, Q8CGS4, Q8NEU8, P51610, Q9UKG1, D3YXG0, Q8TEW0, P28867, Q99MU0, Q3UHC7, Q9CU62, Q8K3H0, Q6ZPT1, O75410, Q8CJF7, Q5XLR4, A2BGR3, Q864U1, O35261, D3ZVV1, P55862, Q5TZA2, Q8IYU2, Q61074, Q8AYG3, Q9EQW7, Q60544, Q13535, Q800K6, Q90XC2, Q8CJ40, P97679, Q6N021, Q7ZXZ0, Q3UUJ4	896	296	14229	1.9850725446428572	0.28633723123453303	0.1063564053127537	0.1960799116167422
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	34	3.3797216699801194	1.767292430825494E-4	E7F6T8, Q810L3, Q7ZYP6, D2I1E3, Q5RE52, Q5R481, Q9CU62, Q6ZPT1, Q8CJF7, A2BGR3, Q801E2, Q5XLR4, D2HBJ8, Q08AY6, Q6NRC9, P30622, O61577, P25867, Q9UNS1, P24941, O14974, Q9VEN1, A1A5G0, P37198, O60216, Q90XC2, Q9NRZ9, Q8WVM7, A6QQY2, Q14203, Q9UPV0, Q96AY4, P50748, Q9DBR7	896	269	14229	2.00721090015932	0.4225574284823671	0.12827961961888035	0.31899195773310574
GOTERM_BP_DIRECT	GO:0009791~post-embryonic development	14	1.3916500994035785	4.2598192865408183E-4	E9Q7X6, Q6NXT6, Q9NPF2, E2R9X2, Q7Z3E1, Q9UKV8, Q8IWY4, P11881, Q8BM75, P16332, Q6N021, P42346, Q6U841, Q9GK13	896	71	14229	3.131382042253521	0.7338799700212714	0.23261110045447053	0.7672533872470577
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	8	0.7952286282306162	5.110447577935251E-4	Q99323, B0FYY4, A2ASS6, Q02645, P19351, Q8WZ42, A8DYP0, Q3B7N2	896	24	14229	5.293526785714286	0.795711470331258	0.23256665782630648	0.9197958947309681
GOTERM_BP_DIRECT	GO:0048008~platelet-derived growth factor receptor signaling pathway	7	0.6958250497017893	5.870093252511811E-4	Q13905, Q8BM75, Q12965, E2R9X2, Q90687, Q7Z3E1, P16591	896	18	14229	6.17578125	0.8386813194479317	0.22943000443891393	1.0558352892319767
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	42	4.174950298210735	6.877155987963981E-4	Q80SY4, Q810L3, Q13489, Q5ZIJ9, O14867, Q5ZM55, Q969P5, A4IF63, Q9P3U8, Q9CR14, Q805F9, Q8N5D0, Q8C2S5, Q9R1R2, A0A0R4IBK5, O95714, F1LZ52, Q6GPF3, Q6ZPT1, Q13114, Q96EB6, O75382, Q12829, Q6DFF6, P21580, Q69ZS0, P25867, Q8IYU2, E7F6F9, P56273, E0CZ16, O95198, F1LZF0, Q5SWK7, A6QQY2, Q5F4A1, A0A1B8YAB1, A1E2V0, Q9Y4B6, D3Z902, Q6TFL4, O14544	896	386	14229	1.7279387953367875	0.8820468107602434	0.2344673625472511	1.2359107955590365
GOTERM_BP_DIRECT	GO:0031532~actin cytoskeleton reorganization	9	0.8946322067594433	8.039282587646796E-4	D3ZSI8, Q8IY33, Q5VT25, P21333, P16591, Q9XWD6, Q9JM52, Q99PV3, P31696	896	33	14229	4.331067370129871	0.9178172346739617	0.2424346831843871	1.4433288881555484
GOTERM_BP_DIRECT	GO:0006895~Golgi to endosome transport	6	0.5964214711729622	8.18932314114022E-4	Q6DFF6, Q96L93, Q9H1K0, Q7Z3U7, Q5JWR5, P42566	896	13	14229	7.329498626373626	0.9215634392392366	0.22473200733000542	1.470078336233771
